Seleção,Grupo,Camisa1,Nº,Nome,Posição_Copa,FC26_ID,FC26_Nome,FC26_Posição,FC26_PosAlternativas,Overall,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,SprintSpeed,Finishing,ShotPower,LongShots,Volleys,Penalties,Positioning,ShortPassing,LongPassing,Curve,FKAccuracy,Crossing,Vision,Dribbling,BallControl,Agility,Balance,Reactions,Composure,Interceptions,DefensiveAwareness,StandingTackle,SlidingTackle,HeadingAccuracy,Aggression,Jumping,Stamina,Strength,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,PlayStyles,PlayStylesPlus,SkillMoves,WeakFoot,PreferredFoot
Haiti,C,Johny Placide,1,Johny Placide,GK,178363,Johny Placide,GK,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,70,69,72,67,"Footwork,Cross Claimer",,1,2,1
Brazil,C,Alisson,3,Gabriel Magalhães,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,4,Marquinhos,DEF,207865,Marquinhos,CB,,87,78,56,75,74,89,80,75,80,59,65,45,35,52,70,84,85,58,32,68,76,69,79,68,67,86,86,89,90,89,88,88,81,89,79,79,6,6,12,10,,"Jockey,Anticipate,Aerial Fortress",Intercept+,3,3,1
Brazil,C,Alisson,6,Alex Sandro,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Senegal,I,Yehvann Diouf,9,Bamba Dieng,FWD,261084,Bamba Dieng,ST,,71,78,72,60,68,33,60,79,78,69,83,67,74,72,70,63,47,54,55,62,64,68,68,67,71,69,69,32,24,31,27,69,42,77,60,65,10,14,11,8,,Rapid,,3,3,1
Brazil,C,Alisson,14,Bremer,DEF,239580,Bremer,CB,,85,82,50,58,66,86,80,78,86,49,68,39,38,43,58,75,69,42,24,46,45,62,68,65,63,78,78,84,87,87,84,87,84,92,65,84,13,15,13,5,,"Precision Header,Long Ball Pass,Block,Aerial Fortress,Bruiser",,2,2,1
Brazil,C,Alisson,15,Léo Pereira,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,16,Douglas Santos,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,24,Roger Ibañez,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,2,Éderson,MID,266866,Éderson,CM,,82,78,72,77,80,80,81,78,78,72,78,70,59,57,74,84,82,65,50,70,80,81,84,69,66,80,84,83,80,84,75,65,80,80,89,77,14,10,12,13,,"Precision Header,Incisive Pass,Long Ball Pass,Intercept,Anticipate,Aerial Fortress,Relentless",,3,3,1
Brazil,C,Alisson,5,Casemiro,MID,200145,Casemiro,CDM,CM,80,36,74,76,69,80,76,35,36,69,82,78,77,66,71,79,80,75,70,68,76,68,77,48,51,79,77,77,78,83,83,80,90,75,54,81,13,14,16,12,,"Long Ball Pass,Block,Slide Tackle,Aerial Fortress,Bruiser",,2,3,1
Brazil,C,Alisson,8,Bruno Guimarães,MID,247851,Bruno Guimarães,CM,CDM,86,66,75,84,84,79,81,66,66,73,76,82,65,65,77,88,88,83,63,76,86,86,86,73,79,85,88,82,78,82,81,66,86,75,90,76,7,11,15,11,,"Gamechanger,Incisive Pass,Long Ball Pass,Press Proven,Relentless",,3,2,1
Brazil,C,Alisson,17,Fabinho,MID,209499,Fabinho,CDM,CM,82,53,69,78,77,81,80,45,59,63,81,70,47,85,70,85,82,71,53,76,74,78,82,59,59,77,86,82,80,83,80,73,82,73,83,78,13,12,6,8,,"Power Shot,Block,Slide Tackle,Aerial Fortress,Press Proven,Bruiser",,3,2,1
Brazil,C,Alisson,18,Danilo Santos,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,20,Lucas Paquetá,MID,233927,Lucas Paquetá,CM,"LM,CAM",80,68,78,78,84,69,75,69,67,78,77,77,74,82,77,80,80,77,74,74,80,86,85,75,76,79,86,71,67,73,63,68,78,75,76,73,14,9,12,11,,"Long Ball Pass,Aerial Fortress,Technical,First Touch",,5,4,2
Brazil,C,Alisson,7,Vinícius Júnior,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Japan,F,Zion Suzuki,17,Yuito Suzuki,MID,255185,Yuito Suzuki,CAM,ST,71,83,68,65,74,48,57,84,83,69,72,68,57,52,69,68,66,61,58,62,66,73,72,83,81,67,68,49,45,50,48,46,56,59,81,45,15,12,8,13,,"Dead Ball,Quick Step",,3,4,1
Brazil,C,Alisson,10,Neymar,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,11,Raphinha,FWD,233419,Raphinha,LM,LW,89,91,84,85,87,53,75,90,91,87,83,82,72,78,89,85,80,85,79,86,87,88,88,88,79,87,85,56,49,54,38,74,77,82,91,65,8,7,13,8,,"Finesse Shot,Power Shot,Trickster,Quick Step,Relentless",Rapid+,4,4,2
South Africa,A,Ronwen Williams,9,Lyle Foster,FWD,241173,Lyle Foster,ST,"LM,CAM",72,81,72,61,69,36,73,79,82,74,76,65,66,65,73,65,51,55,47,62,63,69,71,65,66,68,68,24,36,33,31,70,66,83,71,76,5,6,10,9,,,,3,3,1
Brazil,C,Alisson,21,Luiz Henrique,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brazil,C,Alisson,22,Gabriel Martinelli,FWD,251566,Gabriel Martinelli,LW,LM,81,90,77,75,83,46,72,92,89,79,77,73,81,62,80,77,65,74,68,77,77,85,82,87,81,78,79,39,44,44,43,72,80,83,82,63,10,6,7,6,,"Finesse Shot,Inventive,Quick Step",,4,3,1
Haiti,C,Johny Placide,18,Wilson Isidor,FWD,247335,Wilson Isidor,ST,,72,81,71,60,70,31,72,77,84,73,72,67,68,65,72,64,53,66,55,55,65,71,70,70,64,70,71,29,26,28,25,68,72,80,68,73,12,11,11,13,,,,3,3,1
Brazil,C,Alisson,26,Rayan,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USA,D,Matt Turner,24,Matt Freese,GK,247506,Matt Freese,GK,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,68,68,69,71,"Far Throw,Rush Out",,1,2,1
Haiti,C,Johny Placide,12,Alexandre Pierre,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,23,Josué Duverger,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,2,Carlens Arcus,DEF,228591,Carlens Arcus,RB,RM,71,75,44,66,66,66,75,73,76,38,58,40,41,43,65,69,64,64,39,70,63,65,67,66,76,67,66,65,62,70,68,63,71,77,79,74,8,10,6,15,,Intercept,,2,2,1
Haiti,C,Johny Placide,3,Keeto Thermoncy,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,4,Ricardo Adé,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,5,Hannes Delcroix,DEF,237440,Hannes Delcroix,CB,LB,71,66,35,61,61,71,70,64,68,33,45,30,28,33,40,72,68,43,27,58,51,55,66,65,67,69,69,72,69,73,71,70,69,75,63,73,10,11,7,8,,,,2,2,2
Haiti,C,Johny Placide,8,Martin Expérience,DEF,78651,Martin Expérience,LB,LM,62,68,36,53,59,58,64,66,69,30,45,42,28,35,41,60,58,44,39,59,39,59,58,59,70,54,49,55,57,64,63,46,60,59,70,63,8,9,9,7,,,,2,3,2
Haiti,C,Johny Placide,13,Duke Lacroix,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,22,Jean-Kévin Duverne,DEF,229705,Jean-Kévin Duverne,LB,"RB,CB,LM",71,60,38,62,67,72,73,57,62,31,55,36,32,33,55,73,63,54,28,58,54,65,71,65,65,69,65,72,71,73,72,70,68,73,73,75,13,9,8,6,,Bruiser,,3,3,1
Haiti,C,Johny Placide,24,Wilguens Paugain,DEF,78421,Wilguens Paugain,RB,RM,55,62,34,42,50,54,63,68,57,30,36,31,36,44,56,38,32,42,35,54,46,50,40,68,73,57,41,58,59,50,50,44,64,55,63,64,9,9,10,13,,,,2,3,1
Haiti,C,Johny Placide,6,Carl Fred Sainté,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Algeria,J,Melvin Mastil,22,Ibrahim Maza,MID,275029,Ibrahim Maza,CAM,CM,71,75,66,66,79,40,62,74,76,64,82,61,55,60,65,70,63,67,54,63,68,81,77,84,79,67,70,41,35,42,31,52,49,66,70,62,11,11,6,12,,"Inventive,Technical",,4,3,1
Haiti,C,Johny Placide,14,Leverton Pierre,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,17,Danley Jean Jacques,MID,268805,Danley Jean Jacques,CM,CDM,70,69,56,66,70,67,74,68,69,51,67,59,44,35,68,74,70,62,45,56,67,68,74,68,68,68,69,66,66,71,67,64,73,74,76,73,11,12,7,9,,,,2,3,2
Haiti,C,Johny Placide,25,Dominique Simon,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,26,Woodensky Pierre,MID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,7,Derrick Etienne Jr,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,9,Duckens Nazon,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,11,Louicius Deedson,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,15,Ruben Providence,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,C,Johny Placide,16,Lenny Joseph,FWD,262652,Lenny Joseph,RW,RM,68,80,61,58,71,27,64,81,80,70,55,47,60,66,65,64,57,42,45,57,58,72,72,70,76,62,63,17,29,19,21,67,42,79,73,67,10,12,15,9,,,,3,2,1
Haiti,C,Johny Placide,20,Frantzdy Pierrot,FWD,244949,Frantzdy Pierrot,ST,,72,65,72,56,62,32,82,59,69,74,81,65,61,60,76,68,49,31,48,42,60,64,66,54,33,57,71,20,30,28,21,82,70,91,70,92,9,7,13,15,,Precision Header,Aerial Fortress+,2,3,1
Haiti,C,Johny Placide,19,Yassin Fortuné,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scotland,C,Angus Gunn,18,George Hirst,FWD,233602,George Hirst,ST,,72,73,71,55,66,43,74,71,74,73,72,66,67,66,75,65,46,56,44,42,62,64,71,57,59,68,70,44,40,38,32,73,67,85,67,80,13,13,13,10,,,,3,3,1
Haiti,C,Johny Placide,21,Josué Casimir,FWD,260943,Josué Casimir,RM,"ST,RW",71,82,68,63,71,43,67,80,84,70,68,67,62,61,69,69,49,58,56,67,64,72,72,68,73,70,67,45,41,39,37,63,51,77,75,68,8,5,6,9,,,,3,3,1
USA,D,Matt Turner,25,Chris Brady,GK,260982,Chris Brady,GK,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,64,62,67,72,Footwork,,1,2,1
Morocco,C,Yassine Bounou,12,Munir El Kajoui,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,C,Yassine Bounou,22,Ahmed Reda Tagnaouti,GK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,C,Yassine Bounou,2,Achraf Hakimi,DEF,235212,Achraf Hakimi,RB,RM,89,92,79,82,83,82,79,89,95,80,82,77,74,68,84,86,73,78,80,85,78,82,85,81,78,90,84,85,82,85,79,71,77,84,95,72,10,8,14,6,,"Low Driven Shot,Whipped Pass,Jockey,Anticipate,Press Proven,Quick Step",Relentless+,4,4,1
Morocco,C,Yassine Bounou,3,Noussair Mazraoui,DEF,236401,Noussair Mazraoui,RB,"CB,RM",80,75,66,76,80,77,72,78,73,69,68,61,56,44,76,80,74,69,42,79,77,80,81,76,74,79,79,80,76,77,80,73,71,81,76,69,12,7,13,12,,"Jockey,Block,Anticipate,Technical",,3,3,1
Morocco,C,Yassine Bounou,5,Nayef Aguerd,DEF,244749,Nayef Aguerd,CB,,81,72,50,67,65,82,77,65,78,40,69,54,41,48,52,78,76,55,41,48,68,60,75,54,49,80,74,82,82,83,80,81,81,84,72,78,7,15,9,14,,"Precision Header,Long Ball Pass,Anticipate",,2,3,2
Morocco,C,Yassine Bounou,13,Zakaria El Ouahdi,DEF,275353,Zakaria El Ouahdi,RB,"RM,RW",76,73,66,70,77,69,71,81,67,67,69,65,68,58,61,73,64,68,63,73,67,77,75,82,89,76,72,75,65,75,77,38,68,63,91,63,8,8,11,14,,"Low Driven Shot,Technical,Quick Step",,3,3,1
Morocco,C,Yassine Bounou,14,Issa Diop,DEF,231633,Issa Diop,CB,,76,57,37,53,55,77,78,49,63,30,51,31,48,44,42,68,63,32,34,37,43,52,59,52,33,75,65,77,77,76,75,77,78,82,60,87,10,7,6,14,,Bruiser,,2,3,1
Morocco,C,Yassine Bounou,18,Chadi Riad,DEF,258490,Chadi Riad,CB,,72,60,32,57,61,71,72,56,64,27,42,32,34,46,28,75,65,65,28,42,41,57,68,60,58,67,54,68,69,75,73,73,74,78,59,78,10,12,9,8,,,,2,3,2
Morocco,C,Yassine Bounou,19,Youssef Belammari,DEF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,C,Yassine Bounou,25,Redouane Halhal,DEF,264657,Redouane Halhal,CB,,63,59,30,44,48,64,65,57,61,25,46,21,25,41,37,55,39,41,32,37,39,43,49,55,60,55,45,62,65,67,64,56,55,69,50,76,6,13,14,11,,,,2,3,1
Morocco,C,Yassine Bounou,26,Anass Salah-Eddine,DEF,268728,Anass Salah-Eddine,LB,LM,71,82,42,68,73,65,64,80,84,38,50,39,32,37,67,74,68,66,39,66,68,74,72,79,72,68,72,66,65,67,65,53,65,68,71,59,14,8,15,14,,First Touch,,3,3,2
Morocco,C,Yassine Bounou,4,Sofyan Amrabat,MID,224158,Sofyan Amrabat,CDM,"CM,CB",78,61,70,73,74,75,82,62,61,65,81,73,68,57,66,77,78,73,65,64,75,74,77,62,76,74,76,77,74,78,76,65,86,76,79,82,13,13,6,16,,"Slide Tackle,Press Proven,Relentless",,3,2,1
Morocco,C,Yassine Bounou,6,Ayyoub Bouaddi,MID,278901,Ayyoub Bouaddi,CM,CDM,75,75,58,72,75,67,71,76,74,59,61,56,46,54,66,79,77,62,52,59,76,75,78,67,64,73,76,74,59,75,62,56,68,75,74,71,9,7,12,12,,Technical,,3,3,1
Morocco,C,Yassine Bounou,8,Azzedine Ounahi,MID,255125,Azzedine Ounahi,CM,CAM,76,64,66,73,77,63,67,63,64,67,73,63,52,57,73,80,74,67,54,60,77,76,81,77,68,75,73,67,58,68,64,58,58,66,82,64,14,13,6,8,,"Incisive Pass,First Touch",,3,3,1
Austria,J,Alexander Schlager,24,Paul Wanner,MID,266237,Paul Wanner,CAM,"RM,CM",72,75,61,71,74,44,50,77,73,60,70,55,49,59,68,76,71,60,70,60,74,75,75,76,76,70,64,49,42,41,43,51,50,55,73,38,7,12,13,11,,"Finesse Shot,Inventive,Technical",,4,2,2
Morocco,C,Yassine Bounou,15,Samir El Mourabet,MID,279702,Samir El Mourabet,CM,,65,57,48,63,62,57,61,56,58,48,50,47,33,46,56,70,69,48,45,48,68,59,67,59,63,64,65,63,49,63,56,52,54,59,62,64,12,14,6,13,,,,2,2,2
Morocco,C,Yassine Bounou,16,Gessime Yassine,MID,70017,Gessime Yassine,RM,"LM,RW",65,66,61,62,74,40,43,70,62,61,61,63,59,51,64,68,54,74,53,59,59,76,70,91,83,55,65,48,31,41,44,42,57,40,47,35,9,7,10,11,,Low Driven Shot,,3,2,2
Ecuador,E,Hernán Galíndez,10,Kendry Páez,FWD,274559,Kendry Páez,CAM,"RW,CM",73,79,68,69,75,43,54,77,81,70,68,71,44,51,71,72,70,73,60,61,72,75,74,82,75,69,72,57,34,42,41,48,44,58,70,49,10,11,9,15,,"Pinged Pass,Technical,First Touch,Trickster",,4,3,2
Morocco,C,Yassine Bounou,24,Neil El Aynaoui,MID,262745,Neil El Aynaoui,CM,CDM,77,62,63,76,74,73,75,57,66,61,64,64,46,79,69,79,79,66,53,74,77,75,78,69,52,77,75,77,69,76,67,73,64,83,82,75,10,5,7,14,,"Intercept,Aerial Fortress",,3,3,1
Morocco,C,Yassine Bounou,7,Chemsdine Talbi,FWD,275048,Chemsdine Talbi,RM,"LM,RW",73,90,59,64,79,47,57,92,88,62,63,50,60,50,65,65,50,74,34,72,68,80,77,87,84,60,70,57,60,37,33,36,40,63,74,55,5,6,12,8,,Technical,,3,4,1
Morocco,C,Yassine Bounou,9,Soufiane Rahimi,FWD,264348,Soufiane Rahimi,LM,"LW,ST",78,85,76,72,77,38,66,87,84,79,71,78,73,67,78,74,66,68,65,72,76,79,75,75,76,75,74,41,35,34,30,62,52,77,81,62,8,9,5,8,,"Power Shot,Rapid,Quick Step",,4,4,1
Morocco,C,Yassine Bounou,10,Brahim Díaz,FWD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,C,Yassine Bounou,17,Abdessamad Ezzalzouli,FWD,264432,Abdessamad Ezzalzouli,LM,LW,77,87,69,70,81,29,63,87,87,70,73,70,60,53,73,72,65,66,49,72,72,84,80,83,78,73,70,18,25,32,28,50,68,69,70,57,7,5,6,12,,"Gamechanger,Inventive,Technical",,4,3,1
Côte d'Ivoire,E,Yahia Fofana,14,Oumar Diakité,FWD,277178,Oumar Diakité,ST,,72,82,71,57,70,21,71,83,81,72,75,66,66,66,72,63,44,59,46,58,58,70,70,73,68,69,68,15,13,19,12,71,66,87,66,74,12,11,8,12,,,,2,3,1
Morocco,C,Yassine Bounou,21,Ayoube Amaimouni,FWD,78474,Ayoube Amaimouni,RW,RM,63,71,65,57,68,21,50,69,73,64,70,66,62,56,59,60,55,54,47,58,56,70,66,75,76,44,56,20,18,17,15,49,47,51,55,48,12,12,12,13,,,,3,3,2
Norway,I,Ørjan Håskjold Nyland,12,Sander Tangvik,GK,257568,Sander Tangvik,GK,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,68,66,67,68,"Footwork,Cross Claimer",,1,2,1
